swconfig	hwconfig	m	n	k	cpu	gemmini
hw_g1_dse5	fsm_tiler	1	1024	1	32159	10895
hw_g1_dse5	fsm_tiler	1	1024	4	70395	11510
hw_g1_dse5	fsm_tiler	1	1024	16	203213	13387
hw_g1_dse5	fsm_tiler	1	1024	64	1467488	39169
hw_g1_dse5	fsm_tiler	1	1024	256	6464542	138155
hw_g1_dse5	fsm_tiler	4	256	1	32177	4128
hw_g1_dse5	fsm_tiler	4	256	4	69923	4115
hw_g1_dse5	fsm_tiler	4	256	16	193387	4605
hw_g1_dse5	fsm_tiler	4	256	64	719459	11516
hw_g1_dse5	fsm_tiler	4	256	256	5788100	35191
hw_g1_dse5	fsm_tiler	16	64	1	32339	2344
hw_g1_dse5	fsm_tiler	16	64	4	70011	2461
hw_g1_dse5	fsm_tiler	16	64	16	193230	2525
hw_g1_dse5	fsm_tiler	16	64	64	685312	4436
hw_g1_dse5	fsm_tiler	16	64	256	2868632	11026
hw_g1_dse5	fsm_tiler	32	32	1	32465	2428
hw_g1_dse5	fsm_tiler	32	32	4	70090	2345
hw_g1_dse5	fsm_tiler	32	32	16	193323	2448
hw_g1_dse5	fsm_tiler	32	32	64	685099	3933
hw_g1_dse5	fsm_tiler	32	32	256	2656915	9571
hw_g1_dse5	fsm_tiler	64	16	1	33028	2142
hw_g1_dse5	fsm_tiler	64	16	4	70308	2251
hw_g1_dse5	fsm_tiler	64	16	16	193953	2420
hw_g1_dse5	fsm_tiler	64	16	64	685718	3782
hw_g1_dse5	fsm_tiler	64	16	256	2656582	9131
hw_g1_dse5	fsm_tiler	256	4	1	35823	3855
hw_g1_dse5	fsm_tiler	256	4	4	71843	3795
hw_g1_dse5	fsm_tiler	256	4	16	197544	4004
hw_g1_dse5	fsm_tiler	256	4	64	691438	9241
hw_g1_dse5	fsm_tiler	256	4	256	2669349	26755
hw_g1_dse5	fsm_tiler	1024	1	1	41378	9429
hw_g1_dse5	fsm_tiler	1024	1	4	72887	10158
hw_g1_dse5	fsm_tiler	1024	1	16	205305	10696
hw_g1_dse5	fsm_tiler	1024	1	64	707388	28136
hw_g1_dse5	fsm_tiler	1024	1	256	2715230	97491
hw_g1_dse5	orig_tiler	1	1024	1	31205	11765
hw_g1_dse5	orig_tiler	1	1024	4	62399	12105
hw_g1_dse5	orig_tiler	1	1024	16	202048	13143
hw_g1_dse5	orig_tiler	1	1024	64	1464142	22910
hw_g1_dse5	orig_tiler	1	1024	256	6411319	69612
hw_g1_dse5	orig_tiler	4	256	1	31155	4041
hw_g1_dse5	orig_tiler	4	256	4	61871	4120
hw_g1_dse5	orig_tiler	4	256	16	191273	4595
hw_g1_dse5	orig_tiler	4	256	64	710396	7713
hw_g1_dse5	orig_tiler	4	256	256	5784274	18746
hw_g1_dse5	orig_tiler	16	64	1	31277	2120
hw_g1_dse5	orig_tiler	16	64	4	61992	2080
hw_g1_dse5	orig_tiler	16	64	16	191207	2132
hw_g1_dse5	orig_tiler	16	64	64	683408	3157
hw_g1_dse5	orig_tiler	16	64	256	2845482	6101
hw_g1_dse5	orig_tiler	32	32	1	31597	2073
hw_g1_dse5	orig_tiler	32	32	4	62315	2106
