hwconfig	swconfig	m	n	k	bias	mn-ratio	ops	bytes	op/byte	cycles	op/cycle
hw_g2_dse8	hw_tiler	1	1024	1	yes	0.001	1024	5121	0.200	4550	0.23
hw_g2_dse8	hw_tiler	1	1024	4	yes	0.001	4096	8196	0.500	4900	0.84
hw_g2_dse8	hw_tiler	1	1024	16	yes	0.001	16384	20496	0.799	7409	2.21
hw_g2_dse8	hw_tiler	1	1024	64	yes	0.001	65536	69696	0.940	13857	4.73
hw_g2_dse8	hw_tiler	1	1024	256	yes	0.001	262144	266496	0.984	38895	6.74
hw_g2_dse8	hw_tiler	4	256	1	yes	0.016	1024	4356	0.235	1669	0.61
hw_g2_dse8	hw_tiler	4	256	4	yes	0.016	4096	5136	0.798	1752	2.34
hw_g2_dse8	hw_tiler	4	256	16	yes	0.016	16384	8256	1.984	1992	8.22
hw_g2_dse8	hw_tiler	4	256	64	yes	0.016	65536	20736	3.160	3646	17.97
hw_g2_dse8	hw_tiler	4	256	256	yes	0.016	262144	70656	3.710	8272	31.69
hw_g2_dse8	hw_tiler	16	64	1	yes	0.250	1024	4176	0.245	852	1.20
hw_g2_dse8	hw_tiler	16	64	4	yes	0.250	4096	4416	0.928	801	5.11
hw_g2_dse8	hw_tiler	16	64	16	yes	0.250	16384	5376	3.048	841	19.48
hw_g2_dse8	hw_tiler	16	64	64	yes	0.250	65536	9216	7.111	1380	47.49
hw_g2_dse8	hw_tiler	16	64	256	yes	0.250	262144	24576	10.667	3192	82.13
hw_g2_dse8	hw_tiler	32	32	1	yes	1.000	1024	4160	0.246	917	1.12
hw_g2_dse8	hw_tiler	32	32	4	yes	1.000	4096	4352	0.941	937	4.37
hw_g2_dse8	hw_tiler	32	32	16	yes	1.000	16384	5120	3.200	953	17.19
hw_g2_dse8	hw_tiler	32	32	64	yes	1.000	65536	8192	8.000	1310	50.03
hw_g2_dse8	hw_tiler	32	32	256	yes	1.000	262144	20480	12.800	2365	110.84
hw_g2_dse8	hw_tiler	64	16	1	yes	4.000	1024	4176	0.245	858	1.19
hw_g2_dse8	hw_tiler	64	16	4	yes	4.000	4096	4416	0.928	926	4.42
hw_g2_dse8	hw_tiler	64	16	16	yes	4.000	16384	5376	3.048	942	17.39
hw_g2_dse8	hw_tiler	64	16	64	yes	4.000	65536	9216	7.111	1415	46.32
hw_g2_dse8	hw_tiler	64	16	256	yes	4.000	262144	24576	10.667	2607	100.55
hw_g2_dse8	hw_tiler	256	4	1	yes	64.000	1024	4356	0.235	1340	0.76
hw_g2_dse8	hw_tiler	256	4	4	yes	64.000	4096	5136	0.798	1364	3.00
hw_g2_dse8	hw_tiler	256	4	16	yes	64.000	16384	8256	1.984	1438	11.39
hw_g2_dse8	hw_tiler	256	4	64	yes	64.000	65536	20736	3.160	2493	26.29
hw_g2_dse8	hw_tiler	256	4	256	yes	64.000	262144	70656	3.710	5637	46.50
hw_g2_dse8	hw_tiler	1024	1	1	yes	1024.000	1024	5121	0.200	4272	0.24
hw_g2_dse8	hw_tiler	1024	1	4	yes	1024.000	4096	8196	0.500	4497	0.91
hw_g2_dse8	hw_tiler	1024	1	16	yes	1024.000	16384	20496	0.799	4598	3.56
hw_g2_dse8	hw_tiler	1024	1	64	yes	1024.000	65536	69696	0.940	6445	10.17
hw_g2_dse8	hw_tiler	1024	1	256	yes	1024.000	262144	266496	0.984	22072	11.88
